sequence	Ref. ID temp (Integer starting from 1 and counting upwards)	SAM_Position	Ref. Lead author	Ref. Publication date [year:mm:dd]	Ref_journal	Cell. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	Cell. Area. Measured [cm^2]	Cell. Number of cells per substrate	Cell. Architecture [nip/pin/ ?€?]	Cell. Flexible [TRUE/FALSE]	Cell. Semitransparent [TRUE/FALSE]	Module [TRUE/FALSE]	Module. Number of cells in module	Substrate. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	ETL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	ETL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Perovskite. Single crystal [TRUE/FALSE]	Perovskite. Dimension. 0D (Quantum dot) [TRUE/FALSE]	Perovskite. Dimension. 2D [TRUE/FALSE]	Perovskite. Dimension. 2D/3D mixture [TRUE/FALSE]	Perovskite. Dimension. 3D [TRUE/FALSE]	Perovskite. Dimension. 3D with 2D capping layer [TRUE/FALSE]	Perovskite. Dimension. List of layers [Dim.1 | Dim.2 | ?€?]	Perovskite. Composition. Perovskite ABC3 structure [TRUE/FALSE]	Perovskite. Composition. Perovskite inspired structure [TRUE/FALSE]	Perovskite_composition_long_form	Perovskite_composition_inorganic	Perovskite. Composition. Lead free [TRUE/FALSE]	Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV]	Perovskite. Band gap. Graded [TRUE/FALSE | TRUE/FALSE | ...]	Perovskite. Band gap. Estimation basis [Absorption/Composition/Literature/EQE/?€?]	Perovskite. Deposition. Number of deposition steps	Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Perovskite. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> ?€?| Agr. 4 | ... ]	Perovskite. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> ?€?| Gas5 | ... ]	Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> ?€?| Sol.5 | ... ]	Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> ?€?| 1 | ... ]	Perovskite. Deposition. Quenching induced crystallisation [TRUE/FALSE]	Perovskite. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> ?€?| T5 | ... ] [deg. C]	Perovskite. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> ?€?| t5 | ... ] [min]	Perovskite. Deposition. Solvent annealing [TRUE/FALSE]	HTL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	HTL. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; ?€?| Addt.4 | ... ]	HTL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Backcontact. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	Backcontact. Thickness. List [Th.1 | Th.2 | ?€?| Th.n ] [nm]	Backcontact. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Add. Lay. Frontside [TRUE/FALSE]	Add. Lay. Backcontact side [TRUE/FALSE]	Encapsulation [TRUE/FALSE]	JV. Measured [TRUE/FALSE]	JV. Average over N number of cells	JV. Certified values [TRUE/FALSE]	JV. Light. Intensity [mW/cm^2]	JV. Reverse scan. Voc [V]	JV. Reverse scan. Jsc [mA/cm^2]	JV. Reverse scan. FF [number between 0 and 1]	JV. Reverse scan. PCE [%]	JV. Forward scan. Voc [V]	JV. Forward scan. Jsc [mA/cm^2]	JV. Forward scan. FF [number between 0 and 1]	JV. Forward scan. PCE [%]	JV_default_Voc_scan_direction	JV_default_Jsc_scan_direction	JV_default_FF_scan_direction	JV_default_PCE_scan_direction	buffer
15	4	0	Shuo Zhang et al.	2022/9/9	ACS Materials Letter	SLG | ITO | TPA-Ph-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	TPA-Ph-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.07	22.6	0.823	19.5	1.07	22.6	0.823	19.5					buffer
16	4	0	Shuo Zhang et al.	2022/9/9	ACS Materials Letter	SLG | ITO | MPA-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	MPA-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.03	23	0.812	19.4	1.03	23	0.812	19.4					buffer
17	4	0	Shuo Zhang et al.	2022/9/9	ACS Materials Letter	SLG | ITO | MPA-Ph-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	MPA-Ph-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.139	23.55	0.8402	22.53	1.132	23.62	0.8242	22.05					buffer
20	6	0	Qiaogan Liao et al.	2021/11/1	Journal of Energy Chemistry	SLG | ITO | MPA-BT-RA | Perovskite | C60 | ZrAcac | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | ZrAcac	Evaporation | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	(FA0.17MA0.94PbI3.11)0.95(PbCl2)0.05	FALSE	FALSE	1.53	FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	9;1	TRUE	60>>100	2>>30	FALSE	MPA-BT-RA	Undoped	CBD	Ag	130	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.1	22.03	0.811	19.65	1.09	21.58	0.798	18.72					buffer
21	6	0	Qiaogan Liao et al.	2021/11/1	Journal of Energy Chemistry	SLG | ITO | MPA-BT-BA | Perovskite | C60 | ZrAcac | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | ZrAcac	Evaporation | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	(FA0.17MA0.94PbI3.11)0.95(PbCl2)0.05	FALSE	FALSE	1.53	FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	9;1	TRUE	60>>100	2>>30	FALSE	MPA-BT-BA	Undoped	CBD	Ag	130	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.12	22.76	0.81	20.58	1.12	22.66	0.808	20.45					buffer
22	6	0	Qiaogan Liao et al.	2021/11/1	Journal of Energy Chemistry	SLG | ITO | MPA-BT-CA | Perovskite | C60 | ZrAcac | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | ZrAcac	Evaporation | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	(FA0.17MA0.94PbI3.11)0.95(PbCl2)0.05	FALSE	FALSE	1.53	FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	9;1	TRUE	60>>100	2>>30	FALSE	MPA-BT-CA	Undoped	CBD	Ag	130	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.15	23.18	0.82	21.81	1.13	23.12	0.809	21.21					buffer
23	7	0	Jiankai Zhang et al.	2021/9/29	Chemical Engineering Journal	SLG | ITO | FA | Perovskite | Perovskite | PCBM | Ag	0.15	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	930;71	TRUE	100	10	FALSE	FA	Undoped	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.069	21.37	0.7443	16.99	1.064	21.26	0.7388	16.71					buffer
24	7	0	Jiankai Zhang et al.	2021/9/29	Chemical Engineering Journal	SLG | ITO | TFA | Perovskite | Perovskite | PCBM | Ag	0.15	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	930;71	TRUE	100	10	FALSE	TFA	Undoped	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.099	21.86	0.772	18.55	1.099	21.59	0.7687	18.24					buffer
25	7	0	Jiankai Zhang et al.	2021/9/29	Chemical Engineering Journal	SLG | ITO | 2TFA | Perovskite | Perovskite | PCBM | Ag	0.15	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	930;71	TRUE	100	10	FALSE	2TFA	Undoped	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.12	22.24	0.8106	20.19	1.119	22.2	0.8097	20.11					buffer
26	8	0	Ece Aktas et al.	2022/4/6	ACS Applied Material	SLG | ITO | RC-24 | Perovskite | C60 | BCP | Cu		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	RC-24	Undoped	CBD	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.123	22.3	0.79	19.8	1.118	22.3	0.79	19.2					buffer
27	8	0	Ece Aktas et al.	2022/4/6	ACS Applied Material	SLG | ITO | RC-25 | Perovskite | C60 | BCP | Cu		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	RC-25	Undoped	CBD	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.116	22.1	0.79	19.6	1.101	22.1	0.79	19.6					buffer
29	9	0	Ece Aktas et al.	2020/12/3	Energy & Environmental Science	NaF | SLG | ITO | EADR03 | Perovskite | LiF | BCP | C60 | Cu			pin	FALSE	FALSE	FALSE	0	SLG | ITO	LiF | C60 | BCP	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)4	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	EADR03	Undoped	CBD	Cu	100	Evaporation	TRUE	FALSE	FALSE	TRUE	1	FALSE	100	1.156	22.9	0.8	21.2	1.156	22.9	0.8	21.2					buffer
30	9	0	Ece Aktas et al.	2020/12/3	Energy & Environmental Science	NaF | SLG | ITO | EADR04 | Perovskite | LiF | BCP | C60 | Cu			pin	FALSE	FALSE	FALSE	0	SLG | ITO	LiF | C60 | BCP	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)5	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	EADR04	Undoped	CBD	Cu	100	Evaporation	TRUE	FALSE	FALSE	TRUE	1	FALSE	100	1.164	22.6	0.8	21	1.164	22.6	0.8	21					buffer
31	10	0	Neha Singh et al.	2021/7/14	Organic Electronics	SLG | ITO | MxPPA | Perovskite | PCBM-60 | Ag			pin	FALSE	FALSE	FALSE		SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.48	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO; NMP	63; 7; 10	TRUE	100	10	FALSE	MxPPA	Undoped	CBD	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.68	16.84	0.51	5.92	0.68	16.84	0.51	5.92					buffer
32	10	0	Neha Singh et al.	2021/7/14	Organic Electronics	SLG | ITO | MyPPA | Perovskite | PCBM-60 | Ag			pin	FALSE	FALSE	FALSE		SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.48	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO; NMP	63; 7; 10	TRUE	100	10	FALSE	MyPPA	Undoped	CBD	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.79	16.67	0.57	7.57	0.79	16.67	0.57	7.57					buffer
33	10	0	Neha Singh et al.	2021/7/14	Organic Electronics	SLG | ITO | PPA | Perovskite | PCBM-60 | Ag			pin	FALSE	FALSE	FALSE		SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.48	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO; NMP	63; 7; 10	TRUE	100	10	FALSE	PPA	Undoped	CBD	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.94	16.18	0.57	8.81	0.94	16.18	0.57	8.81					buffer
